id,reacted,body,user_id,post_id
1,5/14/2025,I expected more from this post,158,301
2,6/9/2024,I don't agree with the opinions expressed in this post.,55,87
3,3/1/2025,This post is so well-crafted,181,80
4,3/11/2025,it's so good.,6,274
5,5/31/2025,I'm not sure what to make of this post.,21,21
6,7/31/2024,Not a fan of this post,80,80
7,7/17/2024,This post is a must-read for everyone!,158,118
8,3/23/2025,very disappointing.,2,270
9,9/5/2024,I expected more from this post,168,247
10,6/26/2025,I'm not sure if I agree with the perspectives presented in this post.,177,333
11,4/9/2024,I'm not sure what to think of this post.,174,191
12,5/5/2024,very disappointing.,67,295
13,1/12/2025,I'm so glad I read it.,36,494
14,10/7/2024,I love it!,122,57
15,3/28/2025,I expected more from this post,195,20
16,5/7/2024,This post is so well-researched,170,290
17,5/14/2025,it's unsatisfactory.,83,303
18,10/4/2024,I'm impressed.,70,501
19,12/10/2024,I expected better from this post,26,325
20,4/4/2025,I'm not sure if I agree with the arguments made in this post.,107,72
21,11/12/2024,it's so good!,149,374
22,4/26/2024,I don't think this post is worth the effort,74,108
23,6/29/2024,I'm not sure what to make of this post.,111,366
24,8/26/2024,This post is a gem,139,126
25,11/27/2024,I wish this post had more depth and analysis.,116,128
26,5/2/2025,could be better.,92,324
27,4/24/2025,I'm so grateful for it.,19,448
28,1/4/2025,I expected more from this post,182,124
29,9/5/2024,I wish this post had more depth and analysis.,160,63
30,10/2/2024,it's outstanding!,158,373
31,5/17/2024,This post is a breath of fresh air,35,415
32,7/29/2024,This post is a joy,73,313
33,11/10/2024,thank you!,192,344
34,10/10/2024,This post is so well-written,58,290
35,6/15/2025,I don't think this post is worth the time,131,69
36,6/29/2025,I'm in awe!,23,254
37,4/16/2024,I don't think this post is worth the attention,81,340
38,12/24/2024,I expected better from this post,160,307
39,11/6/2024,This post is so informative,25,422
40,1/10/2025,I'm in awe!,72,507
41,4/4/2024,This post is a joy,13,27
42,6/27/2024,I don't think this post is worth reading,35,111
43,4/6/2025,I'm in awe!,44,103
44,12/23/2024,I'm so grateful for it.,133,264
45,6/11/2025,I'm impressed.,118,6
46,5/13/2024,I don't think this post is worth the attention,46,298
47,5/2/2024,I'm not sure what to make of this post.,137,317
48,12/9/2024,very disappointing.,125,100
49,3/9/2025,I can't stop reading this post,139,377
50,10/19/2024,I expected better from this post,88,216
51,6/8/2024,I disagree with the points made in this post.,106,83
52,1/12/2025,I'm not sure what to make of this post.,21,103
53,4/4/2024,it's amazing!,135,301
54,7/31/2024,Not a fan of this post,159,322
55,12/4/2024,I completely agree with everything in this post.,149,85
56,4/14/2024,I'm not sure what to make of this post.,36,60
57,7/2/2024,very disappointing.,154,375
58,12/17/2024,I can't stop reading this post,27,1
59,10/23/2024,I'm not sure if I agree with the perspectives presented in this post.,33,492
60,11/1/2024,I don't think this post is worth the read,162,34
61,4/22/2025,This post is a game-changer,74,228
62,3/13/2025,thank you!,200,135
63,10/13/2024,I love it!,42,192
64,10/13/2024,I expected more from this post,196,293
65,10/5/2024,I don't think this post is worth the time,69,268
66,2/20/2025,I'm impressed.,160,164
67,1/22/2025,I'm not sure if I agree with the conclusions drawn in this post.,148,402
68,4/26/2025,it's underwhelming.,198,218
69,1/2/2025,I'm so glad I found it.,72,139
70,9/25/2024,it's disappointing.,168,481
71,2/14/2025,I can't stop recommending this post,46,442
72,9/25/2024,This post is just what I needed to hear right now.,138,302
73,4/15/2024,I'm impressed.,195,261
74,1/17/2025,it's so good.,120,73
75,3/27/2025,I expected more from this post,65,339
76,8/31/2024,I love it!,111,411
77,12/22/2024,I love it!,20,108
78,3/24/2024,I love it!,42,407
79,1/28/2025,I can't stop sharing this post,67,446
80,1/1/2025,it's fantastic!,142,240
81,6/13/2024,I expected better from this post,65,51
82,7/5/2024,This post is so well-presented,56,182
83,6/2/2025,very disappointing.,79,403
84,5/31/2025,This post is so well-crafted,196,440
85,5/11/2024,This post is a delight,3,100
86,5/3/2024,This post is a delight,45,251
87,6/27/2024,it's fantastic!,18,315
